#  W,   RES,  TEACH, SERV,  SOC,  MB,  STR,  IDLE, MISC, DESI
1,      0.0,  0.0,  0.0,    30.5, 3.0, 5.00, 0.0,  54.0, 0.0
2, 	2.0,  3.0,  1.0,    22.0, 2.0, 22.5, 5.5,  39.0, 1.0
3, 	7.5,  5.5,  4.0,    9.0,  9.0, 23.0, 11.0, 41.0, 4.0
4, 	5.0,  14.0, 6.0,    9.0,  4.0, 14.0, 9.0,  40.0, 1.0
5, 	15.0, 11.0, 5.0,    38.0, 4.0, 12.5, 5.0,  16.0, 7.0
6,  15.0, 9.0,  19.0, 8.50, 2.0, 22.0, 5.0, 27.0, 6.0
7, 18.0, 7.0, 15.0, 7.0, 4.0, 12.0, 5.0, 40.0, 10.0
8, 11.0, 15.0, 13.0, 14.0, 4.0, 15.0, 5.0, 32.0, 5.0
9, 10.0, 22.50, 14.50, 2.0, 1.50, 15.0, 9.0, 36.0, 2.50
10, 14.0, 20.0, 8.0, 4.0, 8.0, 10.0, 5.0, 35.0, 9.0
11, 11.0, 21.0, 9.0, 8.0, 5.0, 12.0, 7.0, 34.0, 5.0
12, 14.0, 12.0, 6.0, 13.0, 2.0, 14.0, 8.0, 33.0, 10.0
13, 11.0, 14.0, 13.0, 14.0, 2.0, 15.0, 3.0, 29.0, 7.0
14, 19.0, 15.0, 15.0, 12.0, 2.0, 7.0, 5.0, 29.0, 14.0
15, 11.0, 0.0, 1.0, 19.0, 4.0, 9.0, 8.0, 37.0, 10.0
16, 16.0, 16.0, 11.0, 9.0, 6.0, 9.0, 3.0, 42.0, 10.0
17, 4.0, 12.0, 24.0, 10.50, 3.50, 18.50, 7.0, 27.0, 2.0
18, 2.50, 8.50, 16.50, 23.50, 2.0, 20.0, 1.0, 30.0, 1.50
19, 11.0, 10.0, 5.0, 31.0, 3.0, 14.0, 3.0, 28.0, 4.50
20, 1.0, 11.0, 12.0, 24.0, 4.0, 18.0, 5.0, 29.0, 1.0
21, 18.0, 5.0, 27.0, 16.0, 2.0, 2.0, 5.0, 37.0, 18.0
22, 12.50, 0.50, 1.0, 20.0, 3.0, 15.0, 8.0, 42.0, 12.50
23, 2.50, 0.0, 5.0, 2.5, 3.0, 27.0, 8.0, 34.0, 1.0
24, 14.0, 0.0, 3.0, 10.0, 2.0, 3.0, 13.0, 55.0, 7.0
25, 18.50, 0.0, 0.0, 19.0, 14.0, 3.50, 9.0, 45.0, 2.50
26, 19.0, 0.0, 0.0, 24.0, 3.0, 16.0, 3.0, 34.0, 0.0
27, 26.0, 0.0, 0.0, 0.0, 5.0, 11.0, 14.0, 53.0, 4.0
28, 34.0, 0.0, 0.0, 13.0, 6.0, 4.0, 19.0, 32.0, 8.0
29, 34.0, 0.0, 1.0, 5.0, 5.0, 6.0, 15.0, 43.0, 25.0
30, 40.0, 0.0, 1.0, 2.0, 6.0, 3.0, 14.0, 38.0, 25.0
31, 30.0, 0.0, 3.0, 0.0, 4.0, 5.0, 6.0, 62.0, 23.0
32, 5.0, 0.0, 0.0, 0.0, 0.0, 3.0, 17.0, 87.0, 0.0
33, 0.0, 0.0, 0.0, 110.0, 0.0, 0.0, 0.0, 0.0, 0.0
34, 13.50, 0.0, 0.0, 12.0, 0.0, 14.0, 30.0, 36.0, 13.50
35, 15.0, 0.0, 0.0, 13.0, 3.0, 11.0, 19.0, 40.0, 8.0
36, 16.0, 0.0, 0.0, 7.0, 4.0, 5.0, 10.0, 66.0, 0.0
37, 21.0, 1.0, 0.0, 28.0, 2.0, 4.0, 16.0, 42.0, 6.0
38, 32.0, 0.0, 0.0, 0.0, 3.0, 4.0, 18.0, 37.0, 5.0
39, 23.0, 0.0, 1.0, 5.0, 4.0, 2.0, 7.0, 60.0, 5.0
40, 24.0, 0.0, 0.0, 4.0, 3.0, 8.0, 24.0, 38.0, 4.0, 0.0
41, 34.0, 0.0, 0.0, 27.0, 6.0, 8.0, 12.0, 25.0, 27.0
42, 27.0, 0.0, 0.0, 5.0, 13.0, 5.0, 9.0, 40.0, 19.0
43, 35.0, 0.0, 0.0, 6.0, 5.0, 7.0, 9.0, 40.0, 10.0
44, 20.0, 0.0, 1.0, 6.0, 3.0, 10.0, 12.0, 42.0, 14.0


